rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
106,The Best Of Simon & Garfunkel,Simon & Garfunkel,9,9,301,301,301,301,301,217.57142857142858
107,Lost In Space (Deluxe Edition),Aimee Mann,10,10,301,301,301,301,301,217.85714285714286
108,ABBA Gold,ABBA,11,11,301,301,301,301,301,218.14285714285714
109,Billy Talent,Billy Talent,12,12,301,301,301,301,301,218.42857142857142
110,How Long Do You Think It's Gonna Last?,Big Red Machine,13,13,301,301,301,301,301,218.71428571428572
111,City Of God,Blanco,14,14,301,301,301,301,301,219.0
112,"Religious Music: Best Praise and Worship Instrumental Songs (Piano, Cello & Guitar)",Bible Study Music,15,15,301,301,301,301,301,219.28571428571428
113,Fearless (Taylor's Version),Taylor Swift,16,16,301,301,301,301,301,219.57142857142858
114,folklore,Taylor Swift,17,17,301,301,301,301,301,219.85714285714286
115,Breathing Space,Sacred Earth,18,18,301,301,301,301,301,220.14285714285714
