rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
159,True Love (feat. Tay Iwar & Projexx),Wizkid,90,420,96,450,300,325,280.1666666666667
160,Piece of Me (feat. Ella Mai),Wizkid,91,420,97,450,300,325,280.5
161,MONTERO (Call Me By Your Name),Lil Nas X,375,420,350,450,41,48,280.6666666666667
162,Okwaraji,Blaqbonez,92,420,98,450,300,325,280.8333333333333
163,Mahomes,Migos,99,420,93,450,300,325,281.1666666666667
164,Who I Want,"Lil Baby, Lil Durk",101,420,94,450,300,325,281.6666666666667
165,Up,Cardi B,375,420,350,178,300,88,285.1666666666667
166,Handle My Business,Migos,116,420,104,450,300,325,285.8333333333333
167,Need It (feat. YoungBoy Never Broke Again),Migos,118,420,106,450,300,325,286.5
168,Losses (with Young Thug),Polo G,123,420,110,450,300,325,288.0
169,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,375,420,350,450,44,91,288.3333333333333
170,Kilofese,Zinoleesky,122,420,126,450,300,325,290.5
171,Away,Oxlade,375,420,350,201,72,325,290.5
172,Kiss Me More (feat. SZA),Doja Cat,375,420,350,450,88,94,296.1666666666667
173,Ke Star Remix,Focalistic & Davido,375,420,350,19,300,325,298.1666666666667
174,90'S,Seyi Vibez,375,420,350,24,300,325,299.0
175,Bad Type,Seyi Vibez,375,420,350,39,300,325,301.5
176,Catalyst,Seyi Vibez,375,420,350,41,300,325,301.8333333333333
177,Sho Mo Mi,Bella Shmurda,375,420,350,49,300,325,303.1666666666667
178,Omnipotent,Bella Shmurda,375,420,350,58,300,325,304.6666666666667
179,Liquor,Bella Shmurda,375,420,350,59,300,325,304.8333333333333
180,Sorry,MohBad,375,420,350,60,300,325,305.0
181,Chi Chi,Naira Marley,375,420,350,61,300,325,305.1666666666667
182,Vision 2020,Bella Shmurda,375,420,350,63,300,325,305.5
183,Freestyle,2jaja,375,33,350,450,300,325,305.5
184,Can\'t Relate,Omah Lay,375,34,350,450,300,325,305.6666666666667
185,Only You,Bella Shmurda,375,420,350,64,300,325,305.6666666666667
186,Omemma,Judikay,375,35,350,450,300,325,305.8333333333333
187,Pay day,Seyi Vibez,375,420,350,67,300,325,306.1666666666667
188,Focus Vibe,Slimcase,375,38,350,450,300,325,306.3333333333333
189,Upgrade,Bella Shmurda,375,420,350,68,300,325,306.3333333333333
190,Muje,Barry Jhay,375,420,350,69,300,325,306.5
191,Ma Pariwo,Zinoleesky,375,420,350,70,300,325,306.6666666666667
192,Capable God,Judikay,375,42,350,450,300,325,307.0
193,Happiness,Davolee,375,420,350,73,300,325,307.1666666666667
194,Can't Relate,Omah Lay,375,420,350,74,300,325,307.3333333333333
195,Picture Freestyle,Seyi Vibez,375,420,350,75,300,325,307.5
196,Colorado,Zugo,375,420,350,76,300,325,307.6666666666667
197,This Love,Chidinma,375,47,350,450,300,325,307.8333333333333
