rank,song,artist,apple,boom,youtube,RT
211,Eyes But No Eyes,M3NSA,500,510,57,355.6666666666667
212,POPSHIT (feat. Somadina),SGaWD,500,510,58,356.0
213,Only Human,Ukweli,500,510,59,356.3333333333333
214,Magic,Public Goods,500,510,60,356.6666666666667
215,Cash,Lady Donli,500,510,61,357.0
216,We Move (Remix) (feat. Kwesta & DJ Capital),Malachi,500,510,62,357.3333333333333
217,Cameras,SuperJazzClub,500,510,63,357.6666666666667
218,Indifferent,Mo$hpit Cindy,500,510,64,358.0
219,Up,T'neeya,500,510,66,358.6666666666667
220,jorja,Hoosh,500,510,68,359.3333333333333
221,gentil,Zubi,500,510,69,359.6666666666667
222,Fool's Love,Muzi,500,510,70,360.0
223,Star Friends,Salome,500,510,71,360.3333333333333
224,Hurricane (ft. Buju Banton),Tomi Thomas,500,510,74,361.3333333333333
225,Broken,Victony,500,510,75,361.6666666666667
226,Trust Issues,Bankyondbeatz,500,510,76,362.0
227,So Lovely,Buju,500,510,78,362.6666666666667
228,Serenade,Begho,500,510,79,363.0
229,Peace of Mind,Preyé,500,510,80,363.3333333333333
230,Life of the Party,Yung D3mz,500,510,81,363.6666666666667
231,Tycoon,Show Dem Camp,500,510,82,364.0
232,FEEL A WAY,Amaarae,500,510,83,364.3333333333333
233,In My Bag,808vic,500,510,84,364.6666666666667
234,Again,Tomi Thomas,500,510,85,365.0
235,Be My Guest,"WSTRN, Fireboy DML",500,510,86,365.3333333333333
236,It's Okay to Cry,Yinka Bernie,500,510,90,366.6666666666667
237,Yes I Do,Caleb Awiti,500,510,91,367.0
238,Mary,3rty,500,510,92,367.3333333333333
239,Ma Pariwo,"DRB Lasgidi, Fresh L., Lady Donli",500,510,94,368.0
240,BAD STAR,burningforestboy,500,510,95,368.3333333333333
241,How I Met Your Mother,Aussie Maze,500,510,96,368.6666666666667
242,body count,Odunsi (The Engine),500,510,97,369.0
243,Wait,Kinsu,500,510,98,369.3333333333333
244,driving in the rain,"Johnny Drille, LADIPOE",500,510,99,369.6666666666667
245,Minor Notes,Ria Sean,500,510,100,370.0
246,La Vida,M.anifest,500,510,103,371.0
